Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17",0805,2,10uF,C15850
"C10, C11, C12, C13, C14, C19, C20, C21, C22, C3, C4, C46, C50, C7, C8, C9",0805,16,22uF,C86816
C15,0805,1,2.7nF,C113859
C16,CP_Elec_8x10,1,220uF,C165536
"C18, C2, C26, C31, C33, C35, C37, C39, C41, C43, C45, C55, C57, C59, C61, C62, C63, C64, C65",0805,19,100nF,C49678
C23,0805,1,33pF,C541516
"C24, C54, C56, C58, C60",CP_Radial_D6.3mm_P2.50mm,5,100uF,C44587
C25,0805,1,10nF,C237168
"C27, C28, C29",0603,3,100nF,C1590
"C30, C32, C34, C36, C38, C40, C42, C44",0805,8,1uF,C91185
"C47, C5, C51, C6",0805,4,0.1uF,C86041
"C48, C49, C52, C53",0402,4,100nF,C60474
D1,0603,1,GPS,C2286
"D10, D11, D12, D13, D14, D6, D7, D8, D9",D_SMA,9,SMAJ3.3CA,C18199545
"D15, D16, D17, D18, D3",D_PowerDI-5,5,~,C2759901
"D19, D22, D23, D24, D25, D26, D27, D30, D31, D32, D33, D34",0603,12,White,C2290
D2,0603,1,5V,C2286
"D20, D28",0603,2,Red,C2286
"D21, D29",0603,2,Green,C12065
"D35, D36",D_SMA,2,SMAJ5.0CA,C78402
"D37, D39, D41, D43",0603,4,Blue,C2288
"D38, D40, D42, D44",D_SMA,4,1N4007,C64915
D4,D_SMB,1,SMAJ18A/TR13,C571369
D5,0603,1,3.3V,C2286
"ESP32-1, ESP32-2",ESP32-S3-WROOM-1U,2,ESP32-S3-WROOM-1,C3013946
"F1, F2, F3, F4, F5",Fuse_Bourns_MF-RG1000,5,10A,C14767
"FB1, FB10, FB11, FB12, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9",0603,12,FerriteBead,C1002
GPS1,ublox_NEO,1,NEO-M9N-00B,C5119087
I1,"TerminalBlock_Phoenix_MKDS-1,5-16-5.08_1x16_P5.08mm_Horizontal",1,Reed Switches,C508906
I2,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,WS281X Outputs,C8412
I3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,Temp Sensors,C8412
I4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Water,C8445
I5,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Analog 1,C8445
I6,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Analog 2,C8445
J1,SMA_Amphenol_132134-11_Vertical,1,Conn_Coaxial,C20415804
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,12VDC IN,C8445
"K1, K2, K3, K4",Relay_SPDT_SANYOU_SRD_Series_Form_C,4,Relay_SPDT,C35449
"L1, L2",L_SXN_SMDRI127,2,3.3uH,C24550
PI1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry PI HAT,C132132
"PWM1, PWM2, PWM3, PWM4","TerminalBlock_Phoenix_MKDS-1,5-10-5.08_1x10_P5.08mm_Horizontal",4,LED Channels,C29173
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-252-2,16,IRLB8721PBF,C99124
"Q17, Q18, Q19, Q20",TO-92_Inline,4,2N7000,C9114
"R1, R2, R21, R23, R25, R27, R29, R3, R31, R33, R35, R4, R6, R7, R8",0805,15,220R,C17557
"R10, R13, R9",0402,3,1K,C11702
"R100, R104, R41, R44, R47, R50, R53, R56, R59, R62, R65, R68, R71, R74, R77, R80, R83, R86, R92, R96",0805,20,10K,C17414
"R101, R105, R40, R43, R46, R49, R52, R55, R58, R61, R64, R67, R70, R73, R76, R79, R82, R85, R93, R97",0805,20,100R,C17408
"R102, R90, R94, R98",0805,4,330R,C17630
"R103, R91, R95, R99",0603,4,1K,C5123612
R11,0805,1,15.8K,C17468
R12,0805,1,1R,C25271
R14,0805,1,115K,C158272
R15,0805,1,22.1K,C17552
R16,0805,1,2.2K,C17520
"R17, R18, R19",0805,3,150R,C17471
"R20, R22, R24, R26, R28, R30, R32, R34, R5",0805,9,4.7K,C17673
"R36, R37, R38, R39",0402,4,10K,C60490
"R42, R45, R48, R51, R54, R57, R60, R63, R66, R69, R72, R75, R78, R81, R84, R87",0805,16,1K,C17513
"R88, R89",0805,2,33R,C17634
RE1,TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal,1,Relay 1,C8423
RE2,TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal,1,Relay 2,C8423
RE3,TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal,1,Relay 3,C8423
RE4,TerminalBlock_Phoenix_MKDS-3-5-5.08_1x05_P5.08mm_Horizontal,1,Relay 4,C8423
RP?,raspberrypi_4,1,Raspberry_Pi_2_3,
"SW1, SW3",SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,2,RESET,C500070
"SW2, SW4",SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,2,BOOT,C500070
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,AP64501SP-13,C2071517
"U2, U3, U4, U5",DIP-4_W7.62mm,4,PC817,C5353
