Designator,Mid X,Mid Y,Rotation,Layer
C1,221.75,-167.25,270.0,top
C10,319.0765,-179.85325,90.0,top
C11,308.2565,-196.57325,90.0,top
C12,311.863167,-196.57325,90.0,top
C13,315.469833,-196.57325,90.0,top
C14,319.0765,-196.57325,90.0,top
C15,308.4565,-188.87325,0.0,bottom
C16,291.9565,-200.87325,90.0,top
C17,300.4565,-185.62325,270.0,bottom
C18,300.4565,-190.62325,90.0,bottom
C19,298.4565,-185.62325,270.0,bottom
C2,221.75,-170.67575,90.0,top
C20,298.4565,-190.62325,90.0,bottom
C21,296.4565,-185.62325,270.0,bottom
C22,296.4565,-190.62325,90.0,bottom
C23,305.4565,-190.87325,90.0,bottom
C24,299.9565,-204.12325,0.0,top
C25,301.194,-192.12325,180.0,top
C26,241.0415,-151.17325,270.0,top
C27,248.7065,-151.50825,180.0,top
C28,261.625394,-151.50825,180.0,top
C29,274.667853,-151.39825,180.0,top
C3,221.75,-162.25,270.0,top
C30,218.9565,-157.12325,180.0,bottom
C31,218.9565,-155.12325,180.0,bottom
C32,218.9565,-167.28325,180.0,bottom
C33,218.9565,-165.28325,180.0,bottom
C34,218.9565,-177.44325,180.0,bottom
C35,218.9565,-175.44325,180.0,bottom
C36,218.9565,-187.60325,180.0,bottom
C37,218.9565,-185.60325,180.0,bottom
C38,218.9565,-197.76325,180.0,bottom
C39,218.9565,-195.76325,180.0,bottom
C4,335.4565,-183.52325,180.0,bottom
C40,218.9565,-207.92325,180.0,bottom
C41,218.9565,-205.92325,180.0,bottom
C42,218.9565,-218.08325,180.0,bottom
C43,218.9565,-216.08325,180.0,bottom
C44,218.9565,-228.24325,180.0,bottom
C45,218.9565,-226.24325,180.0,bottom
C46,285.4565,-223.87325,180.0,top
C47,289.0785,-222.87325,90.0,bottom
C48,338.88888,-223.87325,180.0,top
C49,342.51088,-222.87325,90.0,bottom
C5,335.4565,-185.62325,180.0,bottom
C50,404.2065,-235.555688,270.0,top
C51,403.2065,-231.933688,0.0,bottom
C52,359.9565,-200.62325,0.0,top
C53,359.9565,-198.62325,0.0,top
C54,341.9565,-198.84825,0.0,bottom
C55,341.9565,-197.57825,180.0,bottom
C56,384.0115,-200.72825,0.0,top
C57,384.0115,-198.72825,0.0,top
C58,367.2065,-198.95325,0.0,bottom
C59,367.2065,-197.68325,180.0,bottom
C6,301.194,-184.12325,180.0,top
C60,303.02,-169.12325,0.0,bottom
C61,331.18,-169.17325,0.0,bottom
C62,359.26,-169.17325,0.0,bottom
C63,387.26,-169.17325,0.0,bottom
C64,404.0915,-182.622,270.0,top
C65,403.0915,-179.0,0.0,bottom
C7,308.2565,-179.85325,90.0,top
C8,311.863167,-179.85325,90.0,top
C9,315.469833,-179.87325,90.0,top
D1,310.225,-212.68773,0.0,top
D10,209.9565,-181.596062,180.0,bottom
D11,209.9565,-191.756062,180.0,bottom
D12,209.9565,-201.916062,180.0,bottom
D13,209.9565,-212.076062,180.0,bottom
D14,209.9565,-222.236062,180.0,bottom
D15,287.9585,-228.95325,0.0,bottom
D16,295.5375,-222.36825,270.0,top
D17,305.6975,-222.36825,270.0,top
D18,315.8575,-222.36825,270.0,top
D19,326.0175,-222.36825,270.0,top
D2,310.225,-205.93773,0.0,top
D20,349.0965,-222.36825,270.0,top
D21,359.2565,-222.36825,270.0,top
D22,369.4165,-222.36825,270.0,top
D23,379.5765,-222.36825,270.0,top
D24,341.39088,-228.95325,0.0,bottom
D25,402.3115,-225.085688,0.0,top
D26,402.3115,-214.925688,0.0,top
D27,402.3115,-204.765688,0.0,top
D28,402.3115,-194.533188,0.0,top
D29,409.2865,-233.053688,270.0,bottom
D3,219.0365,-238.44025,90.0,bottom
D30,223.9565,-143.21075,0.0,bottom
D31,206.9565,-143.21075,180.0,bottom
D32,287.39,-171.12325,0.0,top
D33,297.56,-162.12325,180.0,bottom
D34,315.55,-171.17325,0.0,top
D35,325.72,-162.17325,180.0,bottom
D36,343.63,-171.17325,0.0,top
D37,353.8,-162.17325,180.0,bottom
D38,371.63,-171.17325,0.0,top
D39,381.8,-162.17325,180.0,bottom
D4,285.3065,-184.12325,180.0,bottom
D40,402.3115,-172.152,0.0,top
D41,402.3115,-161.992,0.0,top
D42,402.3115,-151.832,0.0,top
D43,402.5865,-141.672,0.0,top
D44,409.1715,-180.12,270.0,bottom
D5,310.231,-209.31273,0.0,top
D6,233.9615,-152.12325,0.0,top
D7,209.9565,-151.116062,180.0,bottom
D8,209.9565,-161.276062,180.0,bottom
D9,209.9565,-171.436062,180.0,bottom
ESP32-1,347.9015,-191.85825,180.0,top
ESP32-2,371.9565,-191.96325,180.0,top
F1,282.5565,-190.22825,90.0,top
F2,287.16,-156.22325,90.0,top
F3,315.32,-156.27325,90.0,top
F4,343.4,-156.27325,90.0,top
F5,371.4,-156.27325,90.0,top
FB1,235.9615,-148.62325,270.0,top
FB10,217.9565,-200.92325,180.0,bottom
FB11,217.9565,-211.08325,180.0,bottom
FB12,217.9565,-221.24325,180.0,bottom
FB2,251.4565,-149.32325,180.0,top
FB3,264.375394,-149.32325,180.0,top
FB4,277.417853,-149.21325,180.0,top
FB5,217.9565,-150.12325,180.0,bottom
FB6,217.9565,-160.28325,180.0,bottom
FB7,217.9565,-170.44325,180.0,bottom
FB8,217.9565,-180.60325,180.0,bottom
FB9,217.9565,-190.76325,180.0,bottom
GPS1,328.9565,-190.077209,0.0,top
I1,214.8985,-189.216062,270.0,top
I2,217.9465,-140.12325,180.0,top
I3,235.9615,-140.12325,180.0,top
I4,251.498647,-140.23325,180.0,top
I5,264.417541,-140.23325,180.0,top
I6,277.4165,-140.12325,180.0,top
J1,328.9565,-178.87325,90.0,top
J2,214.784,-238.11825,270.0,top
K1,297.505,-159.17325,90.0,top
K2,325.665,-159.22325,90.0,top
K3,353.745,-159.22325,90.0,top
K4,381.745,-159.22325,90.0,top
L1,313.6565,-188.227209,0.0,top
L2,291.9565,-188.227209,270.0,top
PI1,226.449,-191.31575,0.0,top
PWM1,307.5675,-233.86325,0.0,top
PWM2,361.1265,-233.8845,0.0,top
PWM3,414.0915,-213.055688,90.0,top
PWM4,414.06125,-160.122,90.0,top
Q1,299.875,-223.18825,270.0,top
Q10,403.1315,-210.588188,0.0,top
Q11,403.1315,-200.428188,0.0,top
Q12,403.1315,-190.195688,0.0,top
Q13,302.7,-171.18825,180.0,top
Q14,330.86,-171.23825,180.0,top
Q15,358.94,-171.23825,180.0,top
Q16,386.94,-171.23825,180.0,top
Q17,403.1315,-167.8145,0.0,top
Q18,403.1315,-157.6545,0.0,top
Q19,403.1315,-147.4945,0.0,top
Q2,310.035,-223.18825,270.0,top
Q20,403.4065,-137.3345,0.0,top
Q3,320.195,-223.18825,270.0,top
Q4,330.355,-223.18825,270.0,top
Q5,353.434,-223.18825,270.0,top
Q6,363.594,-223.18825,270.0,top
Q7,373.754,-223.18825,270.0,top
Q8,383.914,-223.18825,270.0,top
Q9,403.1315,-220.748188,0.0,top
R1,231.4565,-172.26575,180.0,bottom
R10,310.225,-205.93773,180.0,bottom
R100,400.0915,-157.442,180.0,bottom
R101,400.9585,-149.607,180.0,bottom
R102,400.9585,-145.247,180.0,bottom
R103,400.0915,-147.282,180.0,bottom
R104,401.2335,-139.447,180.0,bottom
R105,401.2335,-135.087,180.0,bottom
R106,400.3665,-137.122,180.0,bottom
R11,305.4565,-186.62325,270.0,bottom
R12,299.9565,-197.62325,0.0,top
R13,310.231,-209.31273,180.0,bottom
R14,305.952333,-192.87325,90.0,top
R15,303.948167,-192.87325,90.0,top
R16,238.7115,-151.21075,90.0,top
R17,252.769,-151.28825,0.0,top
R18,254.038647,-148.37325,270.0,top
R19,265.687894,-151.28825,0.0,top
R2,231.4565,-174.80575,180.0,bottom
R20,266.957541,-148.37325,270.0,top
R21,278.730353,-151.17825,0.0,top
R22,280.0,-148.26325,270.0,top
R23,211.044,-156.25,180.0,bottom
R24,218.1565,-152.12325,180.0,bottom
R25,211.044,-166.41,180.0,bottom
R26,218.1565,-162.28325,180.0,bottom
R27,211.044,-176.57,180.0,bottom
